Date,Open,High,Low,Close,Volume,Change
2020-02-19,42550,42600,41400,41800,1808110,0.0011976047904191933
2020-02-20,42500,42500,41500,42200,1471921,0.009569377990430672
2020-02-21,41400,41550,41000,41150,1476170,-0.024881516587677677
2020-02-24,40500,40900,38900,39050,1872964,-0.051032806804374276
2020-02-25,39200,39600,38700,39250,1779148,0.005121638924455718
2020-02-26,38250,39450,38100,39050,2439040,-0.005095541401273884
2020-02-27,38700,39450,38400,39400,1667870,0.008962868117797784
2020-02-28,38800,38900,38100,38900,2342074,-0.012690355329949221
2020-03-02,38500,39250,38000,38400,1696505,-0.01285347043701801
2020-03-03,38300,38900,38000,38100,1830298,-0.0078125
2020-03-04,38500,39200,38150,38950,1601011,0.022309711286089273
2020-03-05,39050,39250,38500,38700,1192190,-0.006418485237484006
2020-03-06,38200,38350,37300,37450,1624871,-0.03229974160206717
2020-03-09,36350,36500,35100,35150,2015102,-0.061415220293724926
2020-03-10,34800,35450,34800,35150,2183412,0.0
2020-03-11,35000,36200,34850,35300,1840394,0.004267425320056972
2020-03-12,34600,34600,32900,33450,2428039,-0.052407932011331426
2020-03-13,30150,33600,29550,32900,3157352,-0.01644245142002987
2020-03-16,33250,33850,31850,32100,2158001,-0.024316109422492405
2020-03-17,30100,31250,29500,29850,2376047,-0.07009345794392519
2020-03-18,29200,30400,28800,29050,3437402,-0.02680067001675046
2020-03-19,29300,29600,26050,26050,3226552,-0.10327022375215145
2020-03-20,26600,31000,25850,30850,2772947,0.18426103646833014
2020-03-23,27800,28450,27300,27650,2779005,-0.1037277147487844
2020-03-24,28300,29550,28000,29150,2766834,0.054249547920433905
2020-03-25,30600,33300,30550,32000,4002728,0.097770154373928
2020-03-26,32600,35300,31500,32900,4079253,0.028124999999999956
2020-03-27,35100,35800,34200,35750,3789110,0.08662613981762912
2020-03-30,34300,35500,33750,34750,2529780,-0.027972027972028024
2020-03-31,34900,35850,33900,34550,2227158,-0.0057553956834532904
2020-04-01,33450,34150,31600,31600,2918796,-0.08538350217076696
2020-04-02,31900,32300,30550,31700,2356609,0.0031645569620253333
2020-04-03,31150,32250,30900,31150,2312886,-0.017350157728706628
2020-04-06,31650,32850,31150,32850,1998703,0.054574638844301804
2020-04-07,33550,34100,32400,33100,2588831,0.007610350076103556
2020-04-08,32750,32900,32100,32100,2328277,-0.030211480362537735
2020-04-09,32700,32800,32100,32500,1758854,0.012461059190031154
2020-04-10,33150,33950,32600,33650,3195991,0.03538461538461535
2020-04-13,33850,34000,32400,32550,2535276,-0.03268945022288261
2020-04-14,32750,33350,32550,33200,1592187,0.019969278033794113
2020-04-16,32350,32500,31300,31900,4032094,-0.03915662650602414
2020-04-17,32250,33000,32250,32350,3117460,0.014106583072100332
2020-04-20,32700,32700,31850,31900,2712305,-0.01391035548686248
2020-04-21,31700,32100,31000,31700,2357333,-0.006269592476489061
2020-04-22,31100,31600,30700,31500,1816282,-0.006309148264984188
2020-04-23,31700,31950,31300,31300,1661682,-0.006349206349206327
2020-04-24,31100,31650,31000,31100,1674947,-0.006389776357827448
2020-04-27,31500,34200,31350,34200,6297287,0.09967845659163976
2020-04-28,34850,35950,33800,34150,3681195,-0.0014619883040936088
2020-04-29,34200,35000,34050,34750,2470683,0.017569546120058455
2020-05-04,33650,33800,32800,33000,3135974,-0.05035971223021585
2020-05-06,33100,33550,32400,32700,3285676,-0.009090909090909038
2020-05-07,32250,32750,32200,32450,2057759,-0.007645259938837912
2020-05-08,32900,33050,32600,32800,1916592,0.01078582434514641
2020-05-11,32800,33350,32100,32150,2124625,-0.01981707317073167
2020-05-12,32150,32250,31450,31550,1901590,-0.018662519440124425
2020-05-13,30850,31450,30800,31450,2292087,-0.0031695721077654726
2020-05-14,31000,31200,30900,30950,2117359,-0.015898251192368873
2020-05-15,31200,31550,30800,31450,2594683,0.016155088852988664
2020-05-18,31300,31350,30850,31000,2094246,-0.014308426073131986
2020-05-19,32300,32800,31800,31950,3318803,0.030645161290322687
2020-05-20,31700,32150,31600,32050,1529458,0.003129890453834161
2020-05-21,32250,32450,31900,32000,1690229,-0.0015600624024960652
2020-05-22,32300,32300,31000,31100,2073547,-0.028124999999999956
2020-05-25,31200,31500,30850,31350,1387582,0.008038585209003246
2020-05-26,31200,32850,31150,32600,3224756,0.03987240829346095
2020-05-27,33600,33950,33000,33100,4885554,0.015337423312883347
2020-05-28,34500,35200,33700,34200,6324651,0.0332326283987916
2020-05-29,33800,34350,33300,34000,4473646,-0.005847953216374324
2020-06-01,34200,34900,34050,34600,2643715,0.01764705882352935
2020-06-02,34750,36450,34450,36250,3992096,0.047687861271676235
2020-06-03,36900,38900,36850,38600,5291169,0.06482758620689655
2020-06-04,39400,40150,36800,37000,6220789,-0.041450777202072575
2020-06-05,37050,38050,36700,38050,2412060,0.02837837837837842
2020-06-08,39400,39400,37900,38200,2840784,0.003942181340341744
2020-06-09,38250,38950,37700,38500,2520713,0.007853403141361293
2020-06-10,38100,38200,37400,37550,2748853,-0.024675324675324628
2020-06-11,36450,36700,35550,36350,4278133,-0.031957390146471365
2020-06-12,34250,35050,34100,34650,3806558,-0.04676753782668497
2020-06-15,34300,35600,33250,33250,3388071,-0.04040404040404044
2020-06-16,34000,35850,34000,35700,2255201,0.0736842105263158
2020-06-17,34800,35050,34000,35000,3829768,-0.019607843137254943
2020-06-18,34400,35650,34350,35250,2556965,0.0071428571428571175
2020-06-19,36100,36250,35100,36000,3560935,0.02127659574468077
2020-06-22,35400,35750,34800,34850,1689143,-0.03194444444444444
2020-06-23,35050,35300,34150,34700,1858916,-0.004304160688665681
2020-06-24,34700,35200,34550,34900,1373398,0.0057636887608070175
2020-06-25,33900,34200,33750,33750,1908667,-0.03295128939828085
2020-06-26,34350,35150,34200,34800,1889305,0.03111111111111109
2020-06-29,33800,34050,33500,33900,1716673,-0.025862068965517238
2020-06-30,34200,34500,33800,33950,2139717,0.001474926253687281
2020-07-01,34000,34900,33850,34400,1797943,0.013254786450662692
2020-07-02,34350,34800,34300,34450,1944623,0.0014534883720929148
2020-07-03,34750,35000,34500,34800,1032764,0.010159651669085612
2020-07-06,34850,35750,34500,35750,2081699,0.027298850574712707
2020-07-07,35900,36100,35300,35800,1837584,0.0013986013986013734
2020-07-08,35750,35750,35000,35050,1613501,-0.020949720670391025
2020-07-09,35000,35050,34650,34700,1962294,-0.0099857346647646
2020-07-10,34650,34650,33950,33950,1914633,-0.021613832853025983
2020-07-13,34500,35450,34150,35350,1765624,0.04123711340206193
2020-07-14,35200,35350,34850,35100,973577,-0.007072135785007094
2020-07-15,35250,36450,35200,35650,2786466,0.015669515669515688
2020-07-16,36000,36550,35650,35950,1721130,0.008415147265077083
2020-07-17,35950,36400,35400,35650,1595399,-0.008344923504867818
2020-07-20,35600,37000,35300,36900,2428100,0.035063113604488105
2020-07-21,36950,37350,36200,36700,2060791,-0.005420054200542035
2020-07-22,37400,37950,36150,36200,3174680,-0.013623978201634857
2020-07-23,36200,36200,35350,35850,1829737,-0.00966850828729282
2020-07-24,35450,35800,35150,35400,1583429,-0.012552301255230103
2020-07-27,35100,35950,34950,35450,1154928,0.0014124293785311437
2020-07-28,35500,36100,35250,35700,1739731,0.007052186177715081
2020-07-29,35400,36350,35350,36200,1543911,0.014005602240896309
2020-07-30,36550,36850,35750,35950,1773544,-0.006906077348066253
2020-07-31,35850,35900,35250,35250,1893355,-0.01947148817802502
2020-08-03,35350,35600,35050,35250,1056472,0.0
2020-08-04,35250,35750,35250,35500,1345023,0.007092198581560183
2020-08-05,35500,35650,35250,35500,1272456,0.0
2020-08-06,35700,37100,35650,36550,3369375,0.029577464788732355
2020-08-07,36700,36700,35800,36150,1831365,-0.01094391244870041
2020-08-10,36700,37200,36400,37150,2482203,0.027662517289073207
2020-08-11,38000,39000,37600,38800,4668361,0.044414535666218
2020-08-12,39900,40500,38550,40350,5024954,0.0399484536082475
2020-08-13,40050,41500,39700,41500,4253152,0.028500619578686548
2020-08-14,40850,41000,39750,39800,2859261,-0.04096385542168679
2020-08-18,39800,39850,38050,38150,2848865,-0.041457286432160845
2020-08-19,38300,38900,38000,38000,1283988,-0.003931847968545177
2020-08-20,38100,38100,36300,36450,2376891,-0.04078947368421049
2020-08-21,36800,37200,36300,36750,1682480,0.008230452674897082
2020-08-24,36700,37100,36250,36950,1254718,0.0054421768707482165
2020-08-25,37500,38100,37400,37950,1577837,0.02706359945872805
2020-08-26,37650,37850,36800,37100,2118673,-0.022397891963109373
2020-08-27,36850,37000,36500,36950,1518005,-0.0040431266846361336
2020-08-28,37350,38800,37200,38000,3094558,0.02841677943166432
2020-08-31,38150,38300,36850,36850,3473865,-0.03026315789473688
2020-09-01,36650,37600,36550,37400,1747651,0.014925373134328401
2020-09-02,37400,37700,37050,37700,1363294,0.008021390374331583
2020-09-03,38000,38300,37300,37400,1493906,-0.007957559681697646
2020-09-04,36500,37050,36500,36950,1622570,-0.012032085561497374
2020-09-07,37250,38500,37000,38250,2246561,0.03518267929634633
2020-09-08,38500,39150,37800,37800,1861721,-0.0117647058823529
2020-09-09,37150,37750,37050,37500,1325683,-0.007936507936507908
2020-09-10,37600,38050,37550,37550,1649298,0.0013333333333334085
2020-09-11,37250,37550,37000,37150,1453185,-0.010652463382157085
2020-09-14,37700,38300,37300,38300,1794696,0.030955585464333746
2020-09-15,37800,38650,37700,38350,1494998,0.0013054830287206887
2020-09-16,38000,38200,37850,37900,1243553,-0.011734028683181186
2020-09-17,38000,38150,37500,37950,1128497,0.0013192612137202797
2020-09-18,38000,38000,37550,37750,1158360,-0.005270092226614009
2020-09-21,37650,38050,37550,37650,1185153,-0.0026490066225165476
2020-09-22,37400,37750,37200,37450,1538136,-0.005312084993359889
2020-09-23,37250,38050,37250,37550,1596892,0.002670226969292422
2020-09-24,37300,37600,36900,37200,1637655,-0.009320905459387463
