Date,Open,High,Low,Close,Volume,Change
2020-01-02,542000,545000,539000,541000,40246,0.0
2020-01-03,547000,568000,542000,565000,112404,0.0443622920517559
2020-01-06,562000,587000,562000,579000,107006,0.024778761061946986
2020-01-07,583000,596000,574000,594000,84378,0.02590673575129543
2020-01-08,587000,604000,584000,604000,109267,0.01683501683501687
2020-01-09,597000,608000,596000,608000,71171,0.0066225165562914245
2020-01-10,605000,618000,605000,608000,53031,0.0
2020-01-13,605000,615000,604000,614000,66084,0.009868421052631637
2020-01-14,614000,615000,605000,610000,64120,-0.006514657980456029
2020-01-15,608000,622000,608000,619000,56839,0.014754098360655776
2020-01-16,624000,637000,617000,632000,79907,0.02100161550888524
2020-01-17,633000,641000,625000,631000,49319,-0.0015822784810126667
2020-01-20,632000,641000,627000,630000,40779,-0.0015847860538826808
2020-01-21,630000,641000,627000,632000,59896,0.0031746031746031633
2020-01-22,638000,644000,632000,643000,56758,0.017405063291139333
2020-01-23,640000,646000,638000,646000,51057,0.004665629860031162
2020-01-28,637000,652000,636000,644000,90471,-0.003095975232198178
2020-01-29,644000,658000,641000,649000,80218,0.007763975155279601
2020-01-30,651000,665000,651000,655000,77424,0.009244992295839749
2020-01-31,659000,659000,632000,636000,107016,-0.02900763358778624
2020-02-03,636000,648000,633000,640000,94982,0.0062893081761006275
2020-02-04,646000,660000,638000,656000,71409,0.02499999999999991
2020-02-05,652000,664000,651000,657000,69095,0.0015243902439023849
2020-02-06,663000,675000,657000,670000,79693,0.019786910197869156
2020-02-07,663000,677000,662000,672000,58755,0.0029850746268655914
2020-02-10,661000,669000,638000,648000,120937,-0.0357142857142857
2020-02-11,648000,656000,631000,644000,120028,-0.006172839506172867
2020-02-12,636000,660000,635000,650000,172621,0.009316770186335477
2020-02-13,647000,654000,624000,629000,156229,-0.03230769230769226
2020-02-14,635000,661000,630000,657000,157977,0.044515103338632844
2020-02-17,660000,666000,651000,658000,44676,0.0015220700152207556
2020-02-18,652000,658000,646000,655000,52270,-0.00455927051671734
2020-02-19,667000,689000,660000,687000,140128,0.04885496183206106
2020-02-20,700000,711000,674000,676000,110032,-0.01601164483260553
2020-02-21,661000,689000,661000,669000,79837,-0.010355029585798814
2020-02-24,670000,687000,661000,663000,96037,-0.008968609865470878
2020-02-25,667000,669000,648000,669000,92439,0.009049773755656076
2020-02-26,665000,673000,657000,672000,89770,0.004484304932735439
2020-02-27,668000,675000,649000,654000,68808,-0.0267857142857143
2020-02-28,654000,659000,641000,649000,122145,-0.007645259938837912
2020-03-02,657000,665000,639000,661000,75909,0.018489984591679498
2020-03-03,675000,686000,669000,679000,111858,0.027231467473525006
2020-03-04,698000,723000,692000,720000,156369,0.06038291605301915
2020-03-05,722000,725000,705000,711000,115007,-0.012499999999999956
2020-03-06,703000,707000,694000,700000,94325,-0.015471167369901506
2020-03-09,695000,696000,671000,680000,93380,-0.02857142857142858
2020-03-10,666000,689000,666000,676000,117053,-0.00588235294117645
2020-03-11,671000,680000,654000,666000,112122,-0.014792899408283988
2020-03-12,661000,661000,620000,641000,178886,-0.037537537537537524
2020-03-13,581000,661000,580000,641000,229329,0.0
2020-03-16,636000,656000,593000,595000,201806,-0.07176287051482055
2020-03-17,561000,597000,561000,577000,271203,-0.030252100840336138
2020-03-18,583000,608000,570000,570000,211341,-0.012131715771230511
2020-03-19,580000,588000,504000,530000,400206,-0.07017543859649122
2020-03-20,559000,574000,542000,567000,236382,0.06981132075471708
2020-03-23,532000,597000,531000,572000,175741,0.008818342151675429
2020-03-24,587000,650000,584000,649000,236136,0.13461538461538458
2020-03-25,678000,690000,626000,651000,183766,0.0030816640986133237
2020-03-26,651000,660000,621000,625000,171361,-0.03993855606758834
2020-03-27,645000,646000,611000,622000,167169,-0.0048000000000000265
2020-03-30,611000,632000,604000,624000,95800,0.003215434083601254
2020-03-31,621000,657000,621000,652000,193212,0.044871794871794934
2020-04-01,647000,670000,614000,618000,123474,-0.05214723926380371
2020-04-02,638000,666000,620000,656000,148473,0.06148867313915862
2020-04-03,649000,657000,634000,647000,99891,-0.013719512195121908
2020-04-06,652000,678000,651000,678000,97158,0.04791344667697062
2020-04-07,674000,687000,664000,675000,99068,-0.004424778761061954
2020-04-08,667000,675000,659000,663000,106457,-0.01777777777777778
2020-04-09,663000,668000,648000,655000,163906,-0.012066365007541435
2020-04-10,657000,659000,645000,650000,87704,-0.007633587786259555
2020-04-13,651000,659000,648000,651000,50919,0.0015384615384614886
2020-04-14,653000,656000,648000,656000,80586,0.007680491551459223
2020-04-16,656000,663000,645000,655000,112493,-0.0015243902439023849
2020-04-17,661000,664000,645000,649000,143976,-0.009160305343511421
2020-04-20,649000,657000,638000,642000,116669,-0.01078582434514641
2020-04-21,644000,650000,620000,642000,124368,0.0
2020-04-22,641000,677000,632000,677000,139859,0.054517133956386354
2020-04-23,671000,680000,660000,661000,104028,-0.02363367799113736
2020-04-24,656000,673000,648000,653000,98673,-0.012102874432677768
2020-04-27,650000,653000,625000,630000,216386,-0.03522205206738127
2020-04-28,631000,648000,630000,648000,100854,0.02857142857142847
2020-04-29,647000,648000,639000,643000,89309,-0.007716049382716084
2020-05-04,633000,635000,622000,624000,127354,-0.029548989113530322
2020-05-06,639000,641000,629000,641000,79496,0.027243589743589647
2020-05-07,641000,652000,639000,646000,86250,0.007800312012480548
2020-05-08,653000,688000,650000,679000,194176,0.051083591331269274
2020-05-11,685000,709000,685000,699000,131682,0.02945508100147265
2020-05-12,704000,749000,691000,747000,344771,0.06866952789699576
2020-05-13,748000,755000,715000,721000,175101,-0.03480589022757696
2020-05-14,730000,759000,728000,753000,214951,0.04438280166435504
2020-05-15,759000,759000,732000,745000,100195,-0.010624169986719778
2020-05-18,745000,750000,723000,727000,110727,-0.024161073825503365
2020-05-19,727000,737000,713000,732000,111353,0.00687757909215958
2020-05-20,746000,750000,738000,750000,89022,0.024590163934426146
2020-05-21,741000,794000,738000,792000,208754,0.05600000000000005
2020-05-22,794000,799000,777000,790000,93494,-0.002525252525252486
2020-05-25,796000,832000,792000,812000,103070,0.02784810126582271
2020-05-26,813000,826000,786000,801000,114011,-0.013546798029556606
2020-05-27,773000,792000,773000,787000,93977,-0.017478152309613026
2020-05-28,778000,802000,771000,792000,111114,0.006353240152477735
2020-05-29,804000,813000,790000,790000,106253,-0.002525252525252486
2020-06-01,786000,820000,784000,816000,84776,0.032911392405063244
2020-06-02,813000,823000,808000,810000,67525,-0.007352941176470562
2020-06-03,807000,819000,790000,792000,120560,-0.022222222222222254
2020-06-04,783000,801000,780000,800000,104491,0.010101010101010166
2020-06-05,801000,810000,791000,805000,70207,0.006250000000000089
2020-06-08,809000,814000,793000,797000,71804,-0.009937888198757738
2020-06-09,797000,809000,794000,800000,78631,0.0037641154328733606
2020-06-10,809000,837000,803000,822000,127949,0.02750000000000008
2020-06-11,822000,837000,814000,825000,131861,0.0036496350364962904
2020-06-12,812000,836000,801000,824000,107916,-0.00121212121212122
2020-06-15,816000,853000,806000,810000,152388,-0.016990291262135915
2020-06-16,825000,875000,820000,875000,149986,0.08024691358024683
2020-06-17,875000,888000,848000,866000,113585,-0.010285714285714231
2020-06-18,857000,863000,832000,832000,115343,-0.03926096997690531
2020-06-19,843000,857000,824000,857000,99988,0.030048076923076872
2020-06-22,842000,896000,839000,888000,113368,0.03617269544924162
2020-06-23,900000,957000,895000,920000,143448,0.03603603603603611
2020-06-24,915000,945000,909000,943000,91604,0.02499999999999991
2020-06-25,935000,940000,912000,912000,88590,-0.0328738069989396
2020-06-26,924000,928000,901000,909000,84137,-0.003289473684210509
2020-06-29,909000,924000,887000,890000,80756,-0.020902090209020896
2020-06-30,896000,911000,882000,891000,97938,0.0011235955056179137
2020-07-01,904000,909000,890000,893000,74232,0.002244668911335568
2020-07-02,899000,964000,895000,964000,220292,0.07950727883538633
2020-07-03,961000,963000,941000,944000,81378,-0.020746887966805017
2020-07-06,943000,997000,941000,995000,138049,0.05402542372881358
2020-07-07,976000,980000,960000,962000,187793,-0.03316582914572863
2020-07-08,956000,962000,936000,945000,132370,-0.017671517671517645
2020-07-09,955000,959000,943000,947000,130821,0.002116402116402183
2020-07-10,947000,975000,940000,944000,128027,-0.0031678986272439813
2020-07-13,949000,978000,931000,965000,117007,0.022245762711864403
